Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.005,533.0,-283.136,1
1,1.005,555.0,-28.046,1
2,1.005,555.0,-401.226,1
3,0.51,555.0,6.072,2
4,0.34833333333333333,555.0,-32.602,3
5,0.27,555.0,-18.132,4
6,0.225,555.0,13.336,5
7,0.19666666666666666,555.0,23.852,6
8,0.17785714285714285,555.0,-72.456,7
9,0.165,555.0,14.31,8
10,0.1561111111111111,555.0,41.744,9
11,0.15000000000000002,555.0,42.83,10
12,0.1459090909090909,555.0,-27.726,11
13,0.1433333333333333,555.0,8.642,12
14,0.14192307692307693,555.0,74.546,13
15,0.14142857142857143,555.0,52.754,14
16,0.14166666666666666,555.0,5.102,15
17,0.14250000000000002,555.0,-122.028,16
18,0.1438235294117647,555.0,-2.966,17
19,0.14555555555555555,555.0,100.716,18
20,0.14763157894736842,555.0,7.002,19
21,0.15000000000000002,555.0,124.468,20
22,0.1526190476190476,555.0,56.186,21
23,0.15545454545454546,555.0,1.552,22
24,0.15847826086956524,555.0,84.816,23
25,0.16166666666666665,555.0,-380.32,24
26,0.165,555.0,-24.106,25
27,0.16846153846153847,555.0,-44.092,26
28,0.17203703703703704,555.0,136.554,27
29,0.1757142857142857,555.0,6.838,28
30,0.17948275862068963,555.0,-120.4,29
31,0.18333333333333332,555.0,97.058,30
32,0.18725806451612903,555.0,47.768,31
33,0.19125,555.0,71.05,32
34,0.1953030303030303,555.0,45.83,33
35,0.19941176470588237,555.0,65.414,34
36,0.20357142857142857,555.0,82.77,35
37,0.20777777777777778,555.0,-134.692,36
38,0.21202702702702703,555.0,50.528,37
39,0.2163157894736842,555.0,-1.144,38
40,0.22064102564102564,555.0,71.76,39
41,0.225,555.0,-145.102,40
42,0.229390243902439,555.0,47.642,41
43,0.2338095238095238,555.0,33.398,42
44,0.23825581395348838,555.0,-44.956,43
45,0.24272727272727274,555.0,33.262,44
46,0.24722222222222223,555.0,4.456,45
47,0.25173913043478263,555.0,59.694,46
48,0.2562765957446808,555.0,24.36,47
49,0.2608333333333333,555.0,69.142,48
50,0.26540816326530614,555.0,49.42,49
51,0.27,555.0,37.068,50
52,0.2746078431372549,555.0,33.604,51
53,0.2792307692307692,555.0,-19.11,52
54,0.2838679245283019,555.0,-94.34,53
55,0.2885185185185185,555.0,-16.612,54
56,0.2931818181818182,555.0,-142.32,55
57,0.2978571428571429,555.0,4.726,56
58,0.3025438596491228,555.0,36.17,57
59,0.3072413793103448,555.0,-70.618,58
60,0.3119491525423729,555.0,-91.144,59
61,0.31666666666666665,555.0,4.128,60
62,0.32139344262295083,555.0,-170.254,61
63,0.3261290322580645,555.0,26.452,62
64,0.3308730158730159,555.0,6.766,63
65,0.335625,555.0,-48.812,64
66,0.3403846153846154,555.0,-327.49,65
67,0.34515151515151515,555.0,-13.694,66
68,0.34992537313432837,555.0,31.15,67
69,0.3547058823529412,555.0,-482.9,68
70,0.3594927536231884,555.0,-26.48,69
71,0.36428571428571427,555.0,-17.664,70
72,0.3690845070422535,555.0,-48.7,71
73,0.3738888888888889,555.0,-45.316,72
74,0.3786986301369863,555.0,-65.58,73
75,0.3835135135135135,555.0,11.318,74
76,0.3883333333333333,555.0,-84.694,75
77,0.3931578947368421,555.0,19.628,76
78,0.397987012987013,555.0,-324.924,77
79,0.40282051282051284,555.0,-82.15,78
80,0.4076582278481013,555.0,-1.742,79
81,0.41250000000000003,555.0,-178.53,80
82,0.4173456790123457,555.0,-242.992,81
83,0.4221951219512195,555.0,-79.164,82
84,0.4270481927710843,555.0,-49.788,83
85,0.4319047619047619,555.0,-152.33,84
86,0.43676470588235294,555.0,-3.168,85
87,0.4416279069767442,555.0,-4.34,86
88,0.4464942528735632,555.0,17.646,87
89,0.45136363636363636,555.0,9.322,88
90,0.45623595505617975,555.0,1.786,89
91,0.46111111111111114,555.0,3.636,90
92,0.465989010989011,555.0,-210.54,91
93,0.4708695652173913,555.0,-173.55,92
94,0.475752688172043,555.0,-69.596,93
95,0.4806382978723404,555.0,-49.578,94
96,0.48552631578947364,555.0,13.07,95
97,0.49041666666666667,555.0,-327.508,96
98,0.49530927835051547,555.0,-177.49,97
99,0.5002040816326531,555.0,-3.648,98
100,0.50510101010101,555.0,-147.132,99
