Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.005,514.0,13.344,1
1,1.005,514.0,20.964,1
2,0.51,514.0,-26.188,2
3,0.34833333333333333,514.0,9.76,3
4,0.27,550.0,15.818,4
5,1.005,550.0,23.348,1
6,0.51,550.0,13.406,2
7,0.34833333333333333,550.0,11.486,3
8,0.27,550.0,-11.898,4
9,0.225,550.0,16.332,5
10,0.19666666666666666,550.0,24.258,6
11,0.17785714285714285,550.0,31.708,7
12,0.165,550.0,45.638,8
13,0.1561111111111111,550.0,45.398,9
14,0.15000000000000002,550.0,14.058,10
15,0.1459090909090909,550.0,57.662,11
16,0.1433333333333333,550.0,64.54,12
17,0.14192307692307693,550.0,52.676,13
18,0.14142857142857143,550.0,66.244,14
19,0.14166666666666666,550.0,69.662,15
20,0.14250000000000002,550.0,74.47,16
21,0.1438235294117647,550.0,82.344,17
22,0.14555555555555555,550.0,87.278,18
23,0.14763157894736842,550.0,88.002,19
24,0.15000000000000002,550.0,106.414,20
25,0.1526190476190476,550.0,120.746,21
26,0.15545454545454546,550.0,106.912,22
27,0.15847826086956524,550.0,116.224,23
28,0.16166666666666665,550.0,73.564,24
29,0.165,550.0,123.058,25
30,0.16846153846153847,550.0,138.198,26
31,0.17203703703703704,550.0,-18.98,27
32,0.1757142857142857,550.0,84.306,28
33,0.17948275862068963,550.0,86.166,29
34,0.18333333333333332,550.0,94.0,30
35,0.18725806451612903,550.0,91.25,31
36,0.19125,550.0,107.472,32
37,0.1953030303030303,550.0,99.974,33
38,0.19941176470588237,550.0,97.962,34
39,0.20357142857142857,550.0,76.894,35
40,0.20777777777777778,550.0,80.608,36
41,0.21202702702702703,550.0,34.696,37
42,0.2163157894736842,550.0,74.732,38
43,0.22064102564102564,550.0,68.66,39
44,0.225,550.0,78.614,40
45,0.229390243902439,550.0,26.332,41
46,0.2338095238095238,550.0,54.818,42
47,0.23825581395348838,550.0,57.128,43
48,0.24272727272727274,550.0,52.344,44
49,0.24722222222222223,550.0,15.534,45
50,0.25173913043478263,550.0,60.808,46
51,0.2562765957446808,550.0,65.48,47
52,0.2608333333333333,550.0,51.632,48
53,0.26540816326530614,550.0,57.134,49
54,0.27,550.0,-64.906,50
55,0.2746078431372549,550.0,45.98,51
56,0.2792307692307692,550.0,-292.886,52
57,0.2838679245283019,550.0,37.056,53
58,0.2885185185185185,550.0,45.296,54
59,0.2931818181818182,550.0,46.626,55
60,0.2978571428571429,550.0,46.39,56
61,0.3025438596491228,550.0,-22.378,57
62,0.3072413793103448,550.0,-131.034,58
63,0.3119491525423729,550.0,39.904,59
64,0.31666666666666665,550.0,42.076,60
65,0.32139344262295083,550.0,35.214,61
66,0.3261290322580645,550.0,21.27,62
67,0.3308730158730159,550.0,32.246,63
68,0.335625,550.0,31.694,64
69,0.3403846153846154,550.0,28.626,65
